Time (ps),RMSD (nm)
0.0,0.0
10.0,0.07523536
20.0,0.13016859
30.0,0.19530797
40.0,0.20486479
50.0,0.12487172
60.0,0.100669034
70.0,0.1877477
80.0,0.20956834
90.0,0.20725909
100.0,0.2167899
110.0,0.1900993
120.0,0.15353915
130.0,0.1622604
140.0,0.18363734
150.0,0.14937054
160.0,0.11229796
170.0,0.1367856
180.0,0.21235612
190.0,0.15880303
200.0,0.13171017
210.0,0.114978954
220.0,0.10687699
230.0,0.12534267
240.0,0.18070546
250.0,0.16293705
260.0,0.16579327
270.0,0.1355243
280.0,0.12874807
290.0,0.16659522
300.0,0.18102567
310.0,0.10911396
320.0,0.18456155
330.0,0.18840182
340.0,0.21291183
350.0,0.20057495
360.0,0.20098795
370.0,0.2058033
380.0,0.112306245
390.0,0.107628465
400.0,0.11226232
410.0,0.15766852
420.0,0.119999684
430.0,0.10162844
440.0,0.11316929
450.0,0.17189273
460.0,0.19834277
470.0,0.20706125
480.0,0.16768947
490.0,0.122783266
500.0,0.12713914
510.0,0.13430226
520.0,0.124225356
530.0,0.12812
540.0,0.12027326
550.0,0.13731682
560.0,0.17454521
570.0,0.11645577
580.0,0.1773383
590.0,0.20721768
600.0,0.17517163
610.0,0.12114234
620.0,0.11588211
630.0,0.20890366
640.0,0.12355415
650.0,0.16356026
660.0,0.16344702
670.0,0.12318234
680.0,0.12799376
690.0,0.19744241
700.0,0.17909585
710.0,0.19343069
720.0,0.20477973
730.0,0.2055329
740.0,0.1889945
750.0,0.18673375
760.0,0.16239667
770.0,0.1575776
780.0,0.21213979
790.0,0.14791083
800.0,0.1262478
810.0,0.16551341
820.0,0.16037598
830.0,0.13552843
840.0,0.15772603
850.0,0.21290144
860.0,0.18611102
870.0,0.17385836
880.0,0.13858967
890.0,0.11860722
900.0,0.17372158
910.0,0.16655333
920.0,0.12790032
930.0,0.15521088
940.0,0.121119484
950.0,0.118023925
960.0,0.12931664
970.0,0.19744064
980.0,0.21011315
990.0,0.12298069
1000.0,0.12663245
1010.0,0.16276264
1020.0,0.16422631
1030.0,0.20452923
1040.0,0.16625951
1050.0,0.12494342
1060.0,0.12702017
1070.0,0.1261228
1080.0,0.11695185
1090.0,0.12578578
1100.0,0.12298391
1110.0,0.12404903
1120.0,0.1406465
1130.0,0.1590384
1140.0,0.13317838
1150.0,0.14272797
1160.0,0.122005604
1170.0,0.13623744
1180.0,0.14670984
1190.0,0.14360224
1200.0,0.19859815
1210.0,0.20043214
1220.0,0.20355009
1230.0,0.18265522
1240.0,0.18588729
1250.0,0.17412855
1260.0,0.19815035
1270.0,0.20712662
1280.0,0.13300082
1290.0,0.12990296
1300.0,0.13001822
1310.0,0.20171747
1320.0,0.19537513
1330.0,0.14803706
1340.0,0.13364407
1350.0,0.19033702
1360.0,0.21050854
1370.0,0.14983962
1380.0,0.12905702
1390.0,0.12013084
1400.0,0.13469537
1410.0,0.1332278
1420.0,0.13689047
1430.0,0.19254094
1440.0,0.17515409
1450.0,0.19996682
1460.0,0.19362529
1470.0,0.21267232
1480.0,0.17842169
1490.0,0.14133644
1500.0,0.1293483
1510.0,0.13022326
1520.0,0.13283491
1530.0,0.13370185
1540.0,0.20773742
1550.0,0.21056998
1560.0,0.21378893
1570.0,0.18560691
1580.0,0.13357757
1590.0,0.19023739
1600.0,0.20280893
1610.0,0.19847278
1620.0,0.18078755
1630.0,0.1497758
1640.0,0.13076407
1650.0,0.17607291
1660.0,0.14326169
1670.0,0.1865831
1680.0,0.19339113
1690.0,0.18545006
1700.0,0.12075232
1710.0,0.13098729
1720.0,0.12799649
1730.0,0.12406647
1740.0,0.19206633
1750.0,0.18827066
1760.0,0.13660625
1770.0,0.1336056
1780.0,0.12630507
1790.0,0.19457428
1800.0,0.2029708
