#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
100	0.20000000000000015	-146428.8393766815	15029.472158835764	-131399.36721784575	167.43317545553617	498212.2417360769	0.8989026301973446
200	0.4000000000000003	-144392.78414956183	17309.31581634898	-127083.46833321285	192.83137035456252	498212.2417360769	0.8989026301973446
300	0.6000000000000004	-142483.1959287532	18895.522430106877	-123587.67349864633	210.5022244912411	498212.2417360769	0.8989026301973446
400	0.8000000000000006	-140696.85823208475	20116.999760344323	-120579.85847174042	224.10987657557408	498212.2417360769	0.8989026301973446
500	1.0000000000000007	-139544.30387143456	21318.400443509527	-118225.90342792503	237.4938683253138	498212.2417360769	0.8989026301973446
600	1.2000000000000008	-138284.28993333085	22086.920412090472	-116197.36952124037	246.05542906281772	498212.2417360769	0.8989026301973446
700	1.400000000000001	-137300.29494129634	22848.065253236844	-114452.2296880595	254.53482849800108	498212.2417360769	0.8989026301973446
800	1.6000000000000012	-136364.07760602227	23371.64551156921	-112992.43209445306	260.36768173010086	498212.2417360769	0.8989026301973446
900	1.8000000000000014	-135326.4934626565	23728.28756495767	-111598.20589769883	264.340789426016	498212.2417360769	0.8989026301973446
1000	2.0000000000000013	-134556.225660436	24068.68136702853	-110487.54429340747	268.1328863528932	498212.2417360769	0.8989026301973446
1100	2.1999999999999793	-133804.3485821037	24546.148657104826	-109258.19992499887	273.4520262207976	498212.2417360769	0.8989026301973446
1200	2.3999999999999573	-133229.05514603853	24962.014437799808	-108267.04070823872	278.0849053724531	498212.2417360769	0.8989026301973446
1300	2.5999999999999353	-132826.40156606998	25255.90104672443	-107570.50051934557	281.35889714249544	498212.2417360769	0.8989026301973446
1400	2.7999999999999132	-132290.857665709	25386.879977589764	-106903.97768811921	282.81804474799947	498212.2417360769	0.8989026301973446
1500	2.999999999999891	-131864.83437559212	25689.547186655196	-106175.28718893691	286.1898552403791	498212.2417360769	0.8989026301973446
1600	3.199999999999869	-131318.40570427585	25701.60654060608	-105616.79916366977	286.3242003394351	498212.2417360769	0.8989026301973446
1700	3.399999999999847	-130900.7872093033	25811.098524944307	-105089.68868435899	287.54397641878995	498212.2417360769	0.8989026301973446
1800	3.599999999999825	-130721.6673276845	25902.808601861405	-104818.85872582308	288.56565630463166	498212.2417360769	0.8989026301973446
1900	3.799999999999803	-130753.13216440272	26272.02547466066	-104481.10668974205	292.6788515513589	498212.2417360769	0.8989026301973446
2000	3.999999999999781	-130549.72731914165	26090.05540702149	-104459.67191212015	290.6516462083706	498212.2417360769	0.8989026301973446
