#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
100	0.20000000000000015	-146555.02959173344	14751.001416845416	-131804.02817488802	164.3272835301644	498369.26911243435	0.8986527612503645
200	0.4000000000000003	-144629.71122482183	17296.42031078617	-127333.29091403568	192.68344461153808	498369.26911243435	0.8986527612503645
300	0.6000000000000004	-142737.95741882548	18903.34940908543	-123834.60800974004	210.58475761985616	498369.26911243435	0.8986527612503645
400	0.8000000000000006	-141246.46791851195	20341.652961485368	-120904.81495702657	226.60756915506195	498369.26911243435	0.8986527612503645
500	1.0000000000000007	-139553.10627915146	21081.838811420934	-118471.26746773052	234.85329611218057	498369.26911243435	0.8986527612503645
600	1.2000000000000008	-138536.24464599098	22176.10883229489	-116360.13581369609	247.04354780406666	498369.26911243435	0.8986527612503645
700	1.400000000000001	-137321.52173742023	22799.402120311825	-114522.1196171084	253.98708268471822	498369.26911243435	0.8986527612503645
800	1.6000000000000012	-136409.4796154636	23524.228803163645	-112885.25081229997	262.0617073462819	498369.26911243435	0.8986527612503645
900	1.8000000000000014	-135398.14466108716	23908.709362401907	-111489.43529868528	266.34485017058057	498369.26911243435	0.8986527612503645
1000	2.0000000000000013	-134689.70242540337	24358.32205937276	-110331.3803660306	271.35356998871555	498369.26911243435	0.8986527612503645
1100	2.1999999999999793	-133733.6581001912	24408.748132295193	-109324.909967896	271.9153202962557	498369.26911243435	0.8986527612503645
1200	2.3999999999999573	-133197.46402192154	24920.327386583453	-108277.13663533809	277.61435230038626	498369.26911243435	0.8986527612503645
1300	2.5999999999999353	-132834.23730406337	25286.34092000177	-107547.8963840616	281.69177104520605	498369.26911243435	0.8986527612503645
1400	2.7999999999999132	-132038.75511587595	25399.487915277154	-106639.2672005988	282.9522372229105	498369.26911243435	0.8986527612503645
1500	2.999999999999891	-131678.3912567948	25636.291917317547	-106042.09933947724	285.5902519098274	498369.26911243435	0.8986527612503645
1600	3.199999999999869	-131109.46072253084	25505.949964452953	-105603.51075807789	284.1382325899867	498369.26911243435	0.8986527612503645
1700	3.399999999999847	-131034.80286464468	25692.076636930782	-105342.7262277139	286.2116979511833	498369.26911243435	0.8986527612503645
