Time (ps),RMSD (nm)
0.0,0.0
10.0,0.0440206
20.0,0.025175307
30.0,0.03203074
40.0,0.030964287
50.0,0.04890998
60.0,0.04706563
70.0,0.032802988
80.0,0.058011018
90.0,0.06438033
100.0,0.04765824
110.0,0.040107153
120.0,0.040270954
130.0,0.059260886
140.0,0.03626162
150.0,0.032350857
160.0,0.020138273
170.0,0.030236663
180.0,0.039843738
190.0,0.0358402
200.0,0.04674399
210.0,0.036468506
220.0,0.0389637
230.0,0.07176165
240.0,0.027087756
250.0,0.039058093
260.0,0.034040283
270.0,0.04154601
280.0,0.041230142
290.0,0.03216197
300.0,0.028258508
310.0,0.033327356
320.0,0.02996074
330.0,0.03914515
340.0,0.032110035
350.0,0.0281552
360.0,0.04802784
370.0,0.042211782
380.0,0.051082402
390.0,0.035310008
400.0,0.046384722
410.0,0.05416059
420.0,0.026753673
430.0,0.036674947
440.0,0.03665327
450.0,0.034113746
460.0,0.03841663
470.0,0.043996222
480.0,0.041349474
490.0,0.053150434
500.0,0.049220428
510.0,0.04360916
520.0,0.037079737
530.0,0.040082045
540.0,0.046029557
550.0,0.03542835
560.0,0.039458912
570.0,0.10328492
580.0,0.09662555
590.0,0.08091649
600.0,0.075256936
610.0,0.09338605
620.0,0.08915394
630.0,0.07818177
640.0,0.08233876
650.0,0.083984375
660.0,0.07526679
670.0,0.08083345
680.0,0.07317778
690.0,0.08381877
700.0,0.08308979
710.0,0.08330996
720.0,0.08252306
730.0,0.08200783
740.0,0.088609405
750.0,0.085135676
760.0,0.08772892
770.0,0.08619313
780.0,0.042455517
790.0,0.055419862
800.0,0.042232174
810.0,0.058608666
820.0,0.03803443
830.0,0.03222163
840.0,0.052685626
850.0,0.044601697
860.0,0.030754829
870.0,0.030004917
880.0,0.03508686
890.0,0.03448601
900.0,0.03638997
910.0,0.032391366
920.0,0.03711794
930.0,0.031198671
940.0,0.036215197
950.0,0.049173042
960.0,0.03765574
970.0,0.051740665
980.0,0.033722058
990.0,0.040042702
1000.0,0.030099237
1010.0,0.027462656
1020.0,0.042184472
1030.0,0.037713733
1040.0,0.04784298
1050.0,0.036894597
1060.0,0.028851321
1070.0,0.03191059
1080.0,0.04564697
1090.0,0.03894534
1100.0,0.031210557
1110.0,0.035212718
1120.0,0.04695631
1130.0,0.04448097
1140.0,0.038116876
1150.0,0.040011596
1160.0,0.041621182
1170.0,0.049232
1180.0,0.05447224
1190.0,0.06826805
1200.0,0.06562939
1210.0,0.048726566
1220.0,0.09089087
1230.0,0.047568664
1240.0,0.053588975
1250.0,0.040036086
1260.0,0.038988847
1270.0,0.044925414
1280.0,0.038363844
1290.0,0.052996453
1300.0,0.035082325
1310.0,0.054588106
1320.0,0.027134655
1330.0,0.03870893
1340.0,0.03718639
1350.0,0.032851003
1360.0,0.037625127
1370.0,0.04758258
1380.0,0.036572233
1390.0,0.051762674
1400.0,0.031979006
1410.0,0.047589544
1420.0,0.037350234
1430.0,0.032706745
1440.0,0.030962149
1450.0,0.03205678
1460.0,0.03129786
1470.0,0.032596
1480.0,0.0329866
1490.0,0.04068652
1500.0,0.05914813
1510.0,0.025536275
1520.0,0.046149682
1530.0,0.04792569
1540.0,0.029407434
1550.0,0.040343575
1560.0,0.035949793
1570.0,0.040399354
1580.0,0.0365983
1590.0,0.050751247
1600.0,0.05520578
1610.0,0.025249382
1620.0,0.03218667
1630.0,0.04418638
1640.0,0.037490405
1650.0,0.029775372
1660.0,0.03358785
1670.0,0.04153453
1680.0,0.037370443
1690.0,0.03288848
1700.0,0.033032745
1710.0,0.04053911
1720.0,0.032611843
1730.0,0.050740805
1740.0,0.051518492
1750.0,0.03855945
1760.0,0.034189373
1770.0,0.04228953
1780.0,0.02867772
1790.0,0.038778674
1800.0,0.024707438
1810.0,0.04713818
1820.0,0.040300544
1830.0,0.03693012
1840.0,0.036503717
1850.0,0.048385583
1860.0,0.040981703
1870.0,0.031053135
1880.0,0.031320706
1890.0,0.049341112
1900.0,0.03243999
1910.0,0.044999648
1920.0,0.037329663
1930.0,0.03402121
1940.0,0.04482092
1950.0,0.070987806
1960.0,0.03975721
1970.0,0.038669217
1980.0,0.04801515
1990.0,0.04543465
2000.0,0.04085773
2010.0,0.03182913
2020.0,0.056584943
2030.0,0.038125563
2040.0,0.048771396
2050.0,0.03595053
2060.0,0.035849806
2070.0,0.047004238
2080.0,0.033906944
2090.0,0.034785066
2100.0,0.05112724
2110.0,0.03828954
2120.0,0.023589594
2130.0,0.050418437
2140.0,0.044179186
2150.0,0.024856558
2160.0,0.043690182
2170.0,0.028850863
2180.0,0.03947435
2190.0,0.02463711
2200.0,0.04029364
2210.0,0.027345687
2220.0,0.049128577
2230.0,0.036738455
2240.0,0.03602304
2250.0,0.033943646
2260.0,0.033514816
2270.0,0.04075028
2280.0,0.050591268
2290.0,0.034467567
2300.0,0.04520991
2310.0,0.05109381
2320.0,0.045397904
2330.0,0.029314954
2340.0,0.032429375
2350.0,0.02804301
2360.0,0.03456772
2370.0,0.034121897
2380.0,0.0329231
2390.0,0.029974883
2400.0,0.04118546
2410.0,0.04055152
