#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
100	0.20000000000000015	-146290.0524723955	14913.76312092875	-131376.28935146675	166.1439425017274	498212.2417360769	0.89890247600529
200	0.4000000000000003	-144332.2395249785	17187.57840934829	-127144.66111563021	191.47494940290167	498212.2417360769	0.89890247600529
300	0.6000000000000004	-142474.3130804299	18896.800209524685	-123577.51287090522	210.51620989420556	498212.2417360769	0.89890247600529
400	0.8000000000000006	-140807.83302362697	20249.709569413735	-120558.12345421322	225.5880393900101	498212.2417360769	0.89890247600529
500	1.0000000000000007	-139268.9782577145	21209.201608148243	-118059.77664956627	236.27707801974822	498212.2417360769	0.89890247600529
600	1.2000000000000008	-138355.63726953775	22256.833901199705	-116098.80336833805	247.948026394638	498212.2417360769	0.89890247600529
700	1.400000000000001	-137123.77552541543	22882.51849053623	-114241.25703487922	254.91834660101597	498212.2417360769	0.89890247600529
800	1.6000000000000012	-136223.6367779512	23563.996268399533	-112659.64050955168	262.51022021624306	498212.2417360769	0.89890247600529
900	1.8000000000000014	-135326.79758512048	24016.68345294941	-111310.11413217107	267.5532957265131	498212.2417360769	0.89890247600529
1000	2.0000000000000013	-134546.06225350784	24506.579293727165	-110039.48295978067	273.0108871970249	498212.2417360769	0.89890247600529
1100	2.1999999999999793	-133755.54513412848	24728.29565225512	-109027.24948187335	275.4808761343754	498212.2417360769	0.89890247600529
1200	2.3999999999999573	-133153.36712487796	25129.28839239332	-108024.07873248463	279.94805951531833	498212.2417360769	0.89890247600529
1300	2.5999999999999353	-132531.27761695537	25131.61866689429	-107399.65895006109	279.97401949534236	498212.2417360769	0.89890247600529
1400	2.7999999999999132	-132206.61159231947	25536.254466879782	-106670.35712543968	284.48178769186063	498212.2417360769	0.89890247600529
1500	2.999999999999891	-131498.75775475503	25520.251014583886	-105978.50674017114	284.3035042742873	498212.2417360769	0.89890247600529
1600	3.199999999999869	-131425.37947898754	25821.122411801047	-105604.2570671865	287.65530487044356	498212.2417360769	0.89890247600529
1700	3.399999999999847	-131065.0962291621	25824.69258033568	-105240.40364882642	287.6950776542091	498212.2417360769	0.89890247600529
1800	3.599999999999825	-130878.8926131093	26040.076948670638	-104838.81566443866	290.094526258713	498212.2417360769	0.89890247600529
1900	3.799999999999803	-130524.96723005208	25981.518016782207	-104543.44921326988	289.442161611793	498212.2417360769	0.89890247600529
2000	3.999999999999781	-130346.16312460719	26270.386527975857	-104075.77659663135	292.66024633830756	498212.2417360769	0.89890247600529
2100	4.1999999999997595	-130071.85826456228	26375.43234405952	-103696.42592050276	293.8304892800746	498212.2417360769	0.89890247600529
2200	4.3999999999997375	-129984.54270664619	26422.931324667854	-103561.61138197833	294.3596426425821	498212.2417360769	0.89890247600529
2300	4.599999999999715	-129871.00434067992	26429.184576062344	-103441.81976461758	294.42930580081463	498212.2417360769	0.89890247600529
2400	4.799999999999693	-129479.59187223425	26352.536740737356	-103127.05513149688	293.5754251643946	498212.2417360769	0.89890247600529
2500	4.999999999999671	-129449.18036499106	26439.032959882632	-103010.14740510842	294.5390198482958	498212.2417360769	0.89890247600529
2600	5.199999999999649	-129441.67772168337	26573.16126497565	-102868.51645670773	296.03325072943113	498212.2417360769	0.89890247600529
2700	5.399999999999627	-129488.12166687273	26502.928630590774	-102985.19303628194	295.25083741936515	498212.2417360769	0.89890247600529
2800	5.599999999999605	-129170.23753886162	26418.997761956052	-102751.23977690557	294.3158215350778	498212.2417360769	0.89890247600529
2900	5.799999999999583	-129311.43319242254	26577.57779551804	-102733.8553969045	296.0824522482256	498212.2417360769	0.89890247600529
