#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
100	0.20000000000000015	-130931.08393621408	26848.379978869943	-104082.70395734414	299.09927248436196	498212.2417360769	0.89890247600529
200	0.4000000000000003	-131145.20823080195	27089.672888891328	-104055.53534191062	301.7873502715443	498212.2417360769	0.89890247600529
300	0.6000000000000004	-131131.31444393485	26855.448638143225	-104275.86580579162	299.178019539035	498212.2417360769	0.89890247600529
400	0.8000000000000006	-131116.81824314964	26828.577053751906	-104288.24118939774	298.8786617622056	498212.2417360769	0.89890247600529
500	1.0000000000000007	-131360.92301604073	27092.80454410642	-104268.11847193431	301.82223788104784	497979.62803208147	0.8993223667451993
600	1.2000000000000008	-131222.8607603799	26874.17651339742	-104348.68424698248	299.386653872582	496725.98156770156	0.9015920936112063
700	1.400000000000001	-131576.23288614242	27104.180275715218	-104472.05261042718	301.948967056173	494096.7706583129	0.9063896877448064
800	1.6000000000000012	-131359.23722240952	26859.369045789437	-104499.86817662008	299.2216940950323	494096.7706583129	0.9063896877448064
900	1.8000000000000014	-131405.14137784293	26825.11292168322	-104580.02845615969	298.8400702575282	493701.5525721266	0.9071152710367026
1000	2.0000000000000013	-131447.43611371427	26902.24966622547	-104545.18644748881	299.69939749412714	492446.3004396347	0.9094275198593016
1100	2.1999999999999793	-131604.94609510966	27098.100330852543	-104506.84576425712	301.8812345864075	488953.07460882573	0.915924739876095
1200	2.3999999999999573	-131708.13521297235	27074.306961923514	-104633.82825104885	301.616169083676	488953.07460882573	0.915924739876095
1300	2.5999999999999353	-131874.89157838086	27118.237202171153	-104756.65437620971	302.1055655727184	487928.1337410297	0.917848729563934
1400	2.7999999999999132	-131833.93649525178	26953.11074951518	-104880.82574573661	300.26600572232155	487928.1337410297	0.917848729563934
1500	2.999999999999891	-131896.282649928	27014.846347437084	-104881.43630249091	300.95375941320947	486543.5786063525	0.9204606480585011
1600	3.199999999999869	-131876.41219667584	26926.083238208033	-104950.3289584678	299.96491087133273	485130.18031499244	0.9231423561031032
1700	3.399999999999847	-131669.03116652116	26894.993924930965	-104774.03724159021	299.61856628776644	484665.5314072576	0.9240273727994663
1800	3.599999999999825	-131728.99991611327	26927.456253683897	-104801.54366242938	299.98020668919077	484674.6376924065	0.9240100117574649
1900	3.799999999999803	-131811.26400774237	27060.787222848558	-104750.4767848938	301.4655550010133	483927.87870548497	0.925435870466269
2000	3.999999999999781	-131764.54927113233	26879.36052328304	-104885.1887478493	299.4444053490793	483927.87870548497	0.925435870466269
2100	4.1999999999997595	-131843.28316200554	26994.022503637338	-104849.26065836819	300.7217753405863	482436.71192217607	0.9282963062416136
