#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
100	0.20000000000000015	-131141.84767517328	27163.68190815444	-103978.16576701883	302.60513457738523	496856.9577115328	0.9013878864649312
200	0.4000000000000003	-131161.6467364965	27209.885481678073	-103951.76125481843	303.11984530884445	495383.27087752783	0.9040693727780679
300	0.6000000000000004	-131023.4848492705	27012.188190724894	-104011.29665854562	300.9174849831438	493394.5912833794	0.9077133209386297
400	0.8000000000000006	-131180.5009395947	26917.639750429633	-104262.86118916507	299.8642093780043	493394.5912833794	0.9077133209386297
500	1.0000000000000007	-131340.72874310275	27031.925987893883	-104308.80275520888	301.1373652920349	493394.5912833794	0.9077133209386297
600	1.2000000000000008	-131476.31827332047	26989.88154308985	-104486.43673023062	300.66898751757947	490388.5132988823	0.9132775969286046
700	1.400000000000001	-131492.0343048374	27003.73485533378	-104488.29944950364	300.8233142922079	490388.5132988823	0.9132775969286046
800	1.6000000000000012	-131408.01024937414	26907.877355569504	-104500.13289380464	299.75545568178467	490172.59578956076	0.9136798891533061
900	1.8000000000000014	-131745.16873870877	27182.933657273148	-104562.2350814356	302.81960028025327	488705.8325180485	0.9164221361537651
1000	2.0000000000000013	-131566.93121821704	26910.36992329446	-104656.56129492258	299.78322304389724	488705.8325180485	0.9164221361537651
1100	2.1999999999999793	-131652.4951505367	26998.455350689343	-104654.03979984735	300.7645002765368	486490.5447768959	0.92059516427474
1200	2.3999999999999573	-131600.48458176557	27013.465317892395	-104587.0192638732	300.93171226056893	486490.5447768959	0.92059516427474
1300	2.5999999999999353	-131685.4170733028	27120.086739365983	-104565.33033393681	302.11948163965894	486490.5447768959	0.92059516427474
1400	2.7999999999999132	-131709.3898112113	27144.026745283183	-104565.3630659281	302.38617481979753	485266.71521316044	0.9229168804422634
1500	2.999999999999891	-131703.49559971868	26889.54025637694	-104813.95534334173	299.55117923694604	485266.71521316044	0.9229168804422634
1600	3.199999999999869	-131704.2454291506	27061.66291960048	-104642.5825095501	301.46863659212664	483517.06161582883	0.9262565450954766
1700	3.399999999999847	-131720.38599762224	27098.405187982207	-104621.98080964005	301.87794778587147	483517.06161582883	0.9262565450954766
1800	3.599999999999825	-131882.32572057587	27176.01223121842	-104706.31348935745	302.7424951562188	482053.19757849653	0.9290693335024824
1900	3.799999999999803	-131680.68896413554	27036.37602164184	-104644.3129424937	301.1869389494547	482053.19757849653	0.9290693335024824
2000	3.999999999999781	-132005.33370128673	27281.815383102065	-104723.51831818468	303.92114896032075	480717.35153057205	0.9316510867790295
2100	4.1999999999997595	-131705.776311957	26956.905558704886	-104748.8707532521	300.30163296577854	480717.35153057205	0.9316510867790295
2200	4.3999999999997375	-131877.49590301127	27269.58026424404	-104607.91563876723	303.7848489623632	480595.76216979994	0.9318867918538988
2300	4.599999999999715	-131936.87608289105	27058.073270707657	-104878.80281218338	301.428647676413	480714.3174134928	0.9316569670667011
2400	4.799999999999693	-132076.33334172817	27101.210313218642	-104975.12302850952	301.90919705843135	478448.57686750917	0.9360689207588859
2500	4.999999999999671	-132104.27924824966	26948.67179665862	-105155.60745159106	300.2099083357923	477832.0522691575	0.9372766871961934
