#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
100	0.20000000000000015	-146839.57674360648	14812.288038991559	-132027.2887046149	164.97147886604407	498411.9554592178	0.8987791000250346
200	0.4000000000000003	-144775.5456123541	17056.951116709577	-127718.59449564452	189.97135643474667	498411.9554592178	0.8987791000250346
300	0.6000000000000004	-142894.69796763748	18872.88971029605	-124021.80825734143	210.19632603601838	498411.9554592178	0.8987791000250346
400	0.8000000000000006	-141131.6620239512	20043.233135982446	-121088.42888796878	223.23099598089078	498411.9554592178	0.8987791000250346
500	1.0000000000000007	-139673.2385140678	21064.572456555936	-118608.66605751186	234.60613651930828	498411.9554592178	0.8987791000250346
600	1.2000000000000008	-138505.12395906192	22035.32526384097	-116469.79869522096	245.41787106090032	498411.9554592178	0.8987791000250346
700	1.400000000000001	-137276.2442296305	22558.60967761541	-114717.63455201511	251.24593782416304	498411.9554592178	0.8987791000250346
800	1.6000000000000012	-136350.27340359418	23252.95358738743	-113097.31981620674	258.97917534528	498411.9554592178	0.8987791000250346
900	1.8000000000000014	-135519.60457072148	23872.09330123486	-111647.51126948661	265.87482805938043	498411.9554592178	0.8987791000250346
1000	2.0000000000000013	-134749.74933410276	24389.932872587546	-110359.81646151523	271.6422530295491	498411.9554592178	0.8987791000250346
1100	2.1999999999999793	-133957.42353257863	24609.29602118849	-109348.12751139015	274.08540448178576	498411.9554592178	0.8987791000250346
1200	2.3999999999999573	-133438.16934194294	24887.147401964092	-108551.02193997885	277.1799671226729	498411.9554592178	0.8987791000250346
1300	2.5999999999999353	-133142.9759893512	25125.481451674383	-108017.49453767682	279.8344065003936	498411.9554592178	0.8987791000250346
1400	2.7999999999999132	-132516.45804557003	25317.5396258398	-107198.91841973025	281.9734494988133	498411.9554592178	0.8987791000250346
1500	2.999999999999891	-131889.55798363432	25535.781545645616	-106353.77643798871	284.4041132940457	498411.9554592178	0.8987791000250346
1600	3.199999999999869	-131366.68230282766	25569.139553075503	-105797.54274975216	284.7756372478904	498411.9554592178	0.8987791000250346
1700	3.399999999999847	-131400.624897872	25980.086950644145	-105420.53794722786	289.3525533687888	498411.9554592178	0.8987791000250346
1800	3.599999999999825	-130973.1165290427	25922.89304176634	-105050.22348727637	288.7155576727246	498411.9554592178	0.8987791000250346
1900	3.799999999999803	-130593.14959319388	25962.813881275004	-104630.33571191887	289.16017500084985	498411.9554592178	0.8987791000250346
2000	3.999999999999781	-130351.40672900474	26086.911520802987	-104264.49520820176	290.54230928441393	498411.9554592178	0.8987791000250346
2100	4.1999999999997595	-130260.51241631343	26325.390805787298	-103935.12161052613	293.1983662162813	498411.9554592178	0.8987791000250346
2200	4.3999999999997375	-130183.24778500391	26304.72800992671	-103878.51977507722	292.9682348563147	498411.9554592178	0.8987791000250346
2300	4.599999999999715	-129764.35734561934	26136.29106046792	-103628.06628515142	291.09227264340376	498411.9554592178	0.8987791000250346
