Time (ps),RMSD (nm)
0.0,0.0
10.0,0.05532757
20.0,0.05313123
30.0,0.057224195
40.0,0.05415277
50.0,0.0417839
60.0,0.06086489
70.0,0.06915746
80.0,0.042871464
90.0,0.07566465
100.0,0.048115578
110.0,0.069193974
120.0,0.07106908
130.0,0.047080748
140.0,0.04703145
150.0,0.046015933
160.0,0.11187687
170.0,0.132957
180.0,0.14127308
190.0,0.14790921
200.0,0.1484599
210.0,0.14805222
220.0,0.14417128
230.0,0.13848458
240.0,0.13480292
250.0,0.13500172
260.0,0.14760306
270.0,0.14477377
280.0,0.13187122
290.0,0.12848867
300.0,0.1440008
310.0,0.128621
320.0,0.14852707
330.0,0.13867782
340.0,0.15492752
350.0,0.14524657
360.0,0.13282181
370.0,0.14276873
380.0,0.17869514
390.0,0.13950948
400.0,0.13441038
410.0,0.14289053
420.0,0.15124743
430.0,0.13637085
440.0,0.13165155
450.0,0.13908881
460.0,0.13782936
470.0,0.14338815
480.0,0.11490712
490.0,0.13411473
500.0,0.15231651
510.0,0.14543472
520.0,0.1234315
530.0,0.13452576
540.0,0.13178852
550.0,0.1272178
560.0,0.135588
570.0,0.13393492
580.0,0.13904442
590.0,0.14113243
600.0,0.15487096
610.0,0.13355498
620.0,0.13678095
630.0,0.13693877
640.0,0.1424906
650.0,0.14254467
660.0,0.14998595
670.0,0.13774294
680.0,0.14817646
690.0,0.13849574
700.0,0.14742205
710.0,0.13208526
720.0,0.1249144
730.0,0.14845052
740.0,0.14707835
750.0,0.13188608
760.0,0.15497759
770.0,0.14816236
780.0,0.14050783
790.0,0.1350274
800.0,0.13640922
810.0,0.14188823
820.0,0.13934088
830.0,0.14589912
840.0,0.13676342
850.0,0.1450674
860.0,0.13703717
870.0,0.1529346
880.0,0.14515124
890.0,0.13643396
900.0,0.14616308
910.0,0.14303333
920.0,0.14720947
930.0,0.14372632
940.0,0.13558516
950.0,0.14650197
960.0,0.14022616
970.0,0.14558476
980.0,0.14103168
990.0,0.13787256
1000.0,0.14193909
1010.0,0.14251284
1020.0,0.15879716
1030.0,0.13339537
1040.0,0.14478356
1050.0,0.1490242
1060.0,0.1399754
1070.0,0.14505532
1080.0,0.13786694
1090.0,0.13354503
1100.0,0.13894297
1110.0,0.1463194
1120.0,0.14297691
1130.0,0.14280988
1140.0,0.14554723
1150.0,0.14307143
1160.0,0.14335714
1170.0,0.15313452
1180.0,0.14382653
1190.0,0.15725705
1200.0,0.12544213
1210.0,0.14460497
1220.0,0.15304671
1230.0,0.15129386
1240.0,0.14390285
1250.0,0.15328677
1260.0,0.13269892
1270.0,0.14270931
1280.0,0.14838713
1290.0,0.15153933
1300.0,0.13905331
1310.0,0.13742428
1320.0,0.10058376
1330.0,0.12910526
1340.0,0.13871779
1350.0,0.1570892
1360.0,0.14072797
1370.0,0.16402824
1380.0,0.1433904
1390.0,0.1400667
1400.0,0.15577005
1410.0,0.1551056
1420.0,0.14933857
1430.0,0.14598168
1440.0,0.1358057
1450.0,0.13744397
1460.0,0.15333317
1470.0,0.13910984
1480.0,0.14560653
1490.0,0.14173256
1500.0,0.13283308
1510.0,0.14205144
1520.0,0.14423724
1530.0,0.13138452
1540.0,0.15404677
1550.0,0.15463844
1560.0,0.15270387
1570.0,0.14317137
1580.0,0.13550976
1590.0,0.1265446
1600.0,0.16548224
1610.0,0.15685424
1620.0,0.1546871
1630.0,0.1388863
1640.0,0.14284497
1650.0,0.1477366
1660.0,0.13523416
1670.0,0.14260398
1680.0,0.13335557
1690.0,0.16355813
1700.0,0.15034795
1710.0,0.12529606
1720.0,0.14926866
1730.0,0.15382306
1740.0,0.14152026
1750.0,0.13706915
1760.0,0.13339248
1770.0,0.15058708
1780.0,0.14236194
1790.0,0.14750402
1800.0,0.11657091
1810.0,0.16236374
1820.0,0.15345693
1830.0,0.1656559
1840.0,0.15046841
1850.0,0.14562795
1860.0,0.18714431
1870.0,0.12583049
1880.0,0.13845088
1890.0,0.15215634
1900.0,0.14671768
1910.0,0.16175665
1920.0,0.15608032
1930.0,0.17064351
1940.0,0.13490383
1950.0,0.14499614
1960.0,0.14962962
1970.0,0.14385037
1980.0,0.14677353
1990.0,0.13800251
2000.0,0.1545529
2010.0,0.15433596
2020.0,0.14744022
2030.0,0.14131121
2040.0,0.14064516
2050.0,0.16036452
2060.0,0.16734412
2070.0,0.17771791
2080.0,0.17046723
2090.0,0.16192658
2100.0,0.1521167
2110.0,0.15188524
2120.0,0.15013333
2130.0,0.13227169
2140.0,0.14571138
2150.0,0.14767393
2160.0,0.1454691
2170.0,0.16413608
2180.0,0.17619236
2190.0,0.16707212
2200.0,0.17759337
2210.0,0.1550471
2220.0,0.18005434
2230.0,0.16383807
2240.0,0.14819437
2250.0,0.13636036
2260.0,0.14904885
2270.0,0.13363823
2280.0,0.13056892
2290.0,0.1550742
2300.0,0.16377018
2310.0,0.1388642
2320.0,0.15056603
2330.0,0.15377112
2340.0,0.15564118
2350.0,0.13848886
2360.0,0.12751062
2370.0,0.13748185
2380.0,0.14914325
2390.0,0.1332228
2400.0,0.14477733
2410.0,0.13217188
2420.0,0.15597825
2430.0,0.145891
2440.0,0.13647987
2450.0,0.15543777
2460.0,0.1333461
2470.0,0.14172937
2480.0,0.15774652
2490.0,0.14646696
2500.0,0.14526519
2510.0,0.13842817
2520.0,0.1642881
2530.0,0.14687668
2540.0,0.14721034
2550.0,0.13909121
2560.0,0.12620561
2570.0,0.14454685
2580.0,0.1521244
2590.0,0.15390415
2600.0,0.14497551
2610.0,0.15564325
2620.0,0.16398361
2630.0,0.14768267
2640.0,0.14298502
2650.0,0.14926122
2660.0,0.15889542
2670.0,0.1574676
2680.0,0.17329246
2690.0,0.1626333
2700.0,0.13921763
2710.0,0.14228478
2720.0,0.13633135
2730.0,0.17223565
2740.0,0.16433634
2750.0,0.17277169
2760.0,0.17759626
2770.0,0.15078677
2780.0,0.15710266
2790.0,0.15273905
2800.0,0.1634138
2810.0,0.14744407
2820.0,0.15367788
2830.0,0.16911198
2840.0,0.16728127
2850.0,0.15534794
2860.0,0.16771705
2870.0,0.16235088
2880.0,0.16236706
2890.0,0.18041515
2900.0,0.16592073
2910.0,0.15487354
2920.0,0.16911267
2930.0,0.16576532
2940.0,0.17090093
2950.0,0.16285472
2960.0,0.16836411
2970.0,0.1843924
2980.0,0.18366463
2990.0,0.17759772
3000.0,0.18353808
3010.0,0.17283612
3020.0,0.17482217
3030.0,0.17239107
3040.0,0.166316
3050.0,0.16632043
3060.0,0.17766097
3070.0,0.1708639
3080.0,0.1722691
3090.0,0.16912493
3100.0,0.17375174
3110.0,0.16019398
3120.0,0.18015108
3130.0,0.1732517
3140.0,0.16922756
3150.0,0.16771513
3160.0,0.17358708
3170.0,0.16834658
3180.0,0.17270148
3190.0,0.17492607
3200.0,0.15996365
3210.0,0.17466573
3220.0,0.1731968
3230.0,0.18176006
3240.0,0.16493072
3250.0,0.1859337
3260.0,0.17260168
3270.0,0.16108137
3280.0,0.16029017
3290.0,0.17217632
3300.0,0.15235983
3310.0,0.1561207
3320.0,0.17480984
3330.0,0.13112855
3340.0,0.16650845
3350.0,0.1483211
3360.0,0.12930612
3370.0,0.14116558
3380.0,0.14419451
3390.0,0.1608721
3400.0,0.14976144
3410.0,0.14449379
3420.0,0.1456491
3430.0,0.14014147
3440.0,0.12722489
3450.0,0.14716743
3460.0,0.15568572
3470.0,0.13403918
3480.0,0.14924768
3490.0,0.14419809
3500.0,0.15981865
3510.0,0.14452393
3520.0,0.14158072
3530.0,0.16328377
3540.0,0.15100363
3550.0,0.15568903
3560.0,0.17952792
3570.0,0.13518173
3580.0,0.19812462
3590.0,0.1418441
3600.0,0.14486036
3610.0,0.13898407
3620.0,0.15782803
3630.0,0.15597147
3640.0,0.14421704
3650.0,0.15605555
3660.0,0.17369002
3670.0,0.17948772
3680.0,0.16020782
3690.0,0.15697907
3700.0,0.15017314
3710.0,0.15815204
3720.0,0.14452545
3730.0,0.15300065
3740.0,0.15606704
3750.0,0.16786706
3760.0,0.16931982
3770.0,0.16050124
3780.0,0.17028584
3790.0,0.17239667
3800.0,0.16962461
3810.0,0.18261543
3820.0,0.18099298
3830.0,0.17907964
3840.0,0.17598897
3850.0,0.1820763
3860.0,0.16602665
3870.0,0.17721787
3880.0,0.180147
3890.0,0.18102871
3900.0,0.18816978
3910.0,0.1686244
3920.0,0.16632755
3930.0,0.17359287
3940.0,0.18047556
3950.0,0.15654927
3960.0,0.19103935
3970.0,0.17391907
3980.0,0.16376625
3990.0,0.17240341
4000.0,0.15779725
4010.0,0.17929994
4020.0,0.16422008
4030.0,0.19599898
4040.0,0.15286708
4050.0,0.18185073
4060.0,0.14266017
4070.0,0.14732935
4080.0,0.14298853
4090.0,0.15740605
4100.0,0.13769503
4110.0,0.13873859
4120.0,0.14972167
4130.0,0.17026624
4140.0,0.14202723
4150.0,0.15254343
4160.0,0.13707498
4170.0,0.15594022
4180.0,0.14415215
4190.0,0.15927988
4200.0,0.17613742
4210.0,0.18258034
4220.0,0.16510496
4230.0,0.16598193
4240.0,0.20293736
4250.0,0.15079558
4260.0,0.13913143
4270.0,0.13786714
4280.0,0.14220941
4290.0,0.14187042
4300.0,0.1609389
4310.0,0.16430591
4320.0,0.17838013
4330.0,0.16556913
4340.0,0.16952991
4350.0,0.17840788
4360.0,0.16720752
4370.0,0.18298605
4380.0,0.16146846
4390.0,0.16152903
4400.0,0.17534904
4410.0,0.13857919
4420.0,0.16695622
4430.0,0.16144204
4440.0,0.1447191
4450.0,0.1706744
4460.0,0.17566046
4470.0,0.2011975
4480.0,0.16387686
4490.0,0.15283817
4500.0,0.15913272
4510.0,0.15387885
4520.0,0.16831335
4530.0,0.14910677
4540.0,0.1446709
4550.0,0.1516767
4560.0,0.1570966
4570.0,0.1675453
4580.0,0.13878623
4590.0,0.13344444
4600.0,0.14672314
4610.0,0.14196225
4620.0,0.1678398
4630.0,0.13091195
4640.0,0.17726119
4650.0,0.14571483
4660.0,0.14458206
4670.0,0.16539265
4680.0,0.1591762
4690.0,0.15082122
4700.0,0.16227973
4710.0,0.13878094
4720.0,0.13748953
4730.0,0.14833328
4740.0,0.15614836
4750.0,0.16512065
4760.0,0.16012374
4770.0,0.16530941
4780.0,0.16351943
4790.0,0.16897894
4800.0,0.15347573
4810.0,0.15206365
4820.0,0.17586899
4830.0,0.17430189
4840.0,0.1748708
4850.0,0.17492054
4860.0,0.16788326
4870.0,0.1735106
4880.0,0.17499958
4890.0,0.18847267
4900.0,0.17543589
4910.0,0.18974465
4920.0,0.19239667
4930.0,0.17404684
4940.0,0.18025099
4950.0,0.17288175
4960.0,0.1613209
4970.0,0.13031995
4980.0,0.14577788
4990.0,0.14455354
5000.0,0.1509642
5010.0,0.15534098
5020.0,0.1580088
5030.0,0.15895697
5040.0,0.15627532
5050.0,0.17005394
5060.0,0.16280176
5070.0,0.1333944
5080.0,0.16444021
5090.0,0.15901111
5100.0,0.16815647
5110.0,0.16097878
5120.0,0.16255467
5130.0,0.16564617
5140.0,0.1570687
5150.0,0.14894886
5160.0,0.16599497
5170.0,0.14942183
5180.0,0.17576212
5190.0,0.16794404
5200.0,0.16061057
5210.0,0.18014821
5220.0,0.16732162
5230.0,0.15710905
5240.0,0.15903543
5250.0,0.16290645
5260.0,0.15593047
5270.0,0.16250591
5280.0,0.1592853
5290.0,0.16694966
5300.0,0.16050719
5310.0,0.1480771
5320.0,0.16531238
5330.0,0.16347726
5340.0,0.19685347
5350.0,0.17944233
5360.0,0.16680849
5370.0,0.18540311
5380.0,0.19885771
5390.0,0.12168891
5400.0,0.16326672
5410.0,0.1296692
5420.0,0.09166172
5430.0,0.11803737
5440.0,0.12045222
5450.0,0.086145096
5460.0,0.17495923
5470.0,0.15985356
5480.0,0.15735462
5490.0,0.1492678
5500.0,0.10123968
5510.0,0.1394887
5520.0,0.14011012
5530.0,0.1428999
5540.0,0.1586312
5550.0,0.13458094
5560.0,0.15812874
5570.0,0.1434576
5580.0,0.14702041
5590.0,0.19638969
5600.0,0.14268221
5610.0,0.14635481
5620.0,0.139213
5630.0,0.14822342
5640.0,0.131149
5650.0,0.14613415
5660.0,0.15649
5670.0,0.12733567
5680.0,0.1510369
5690.0,0.15440175
5700.0,0.1359906
5710.0,0.16386206
5720.0,0.17857091
5730.0,0.17126176
5740.0,0.16662884
5750.0,0.13980919
5760.0,0.14569731
5770.0,0.121216506
5780.0,0.17220722
5790.0,0.18164544
5800.0,0.17885244
5810.0,0.19788828
5820.0,0.16400641
5830.0,0.1497295
5840.0,0.1789023
5850.0,0.19414194
5860.0,0.17215483
5870.0,0.13247225
5880.0,0.18962134
5890.0,0.14783129
5900.0,0.15878856
5910.0,0.15767421
5920.0,0.15230899
5930.0,0.16708454
5940.0,0.15707551
5950.0,0.1573307
5960.0,0.15448603
5970.0,0.13270019
5980.0,0.18302535
5990.0,0.19478776
