#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
3100	6.199999999999539	-155545.0540301933	31031.376799476297	-124513.677230717	299.33821096849545	512000.0000000001	1.0108642702209234
3200	6.399999999999517	-155457.75718506903	31004.881181562156	-124452.87600350687	299.0826260836812	512000.0000000001	1.0108642702209234
3300	6.599999999999495	-155257.8886382239	31007.172680247895	-124250.715957976	299.1047305852461	512000.0000000001	1.0108642702209234
3400	6.799999999999473	-155263.9832844954	31056.94306678653	-124207.04021770887	299.58483105136327	512000.0000000001	1.0108642702209234
3500	6.999999999999451	-155227.77391547055	31025.59648431638	-124202.17743115417	299.28245226948627	512000.0000000001	1.0108642702209234
3600	7.199999999999429	-155345.60374338643	31113.534164128472	-124232.06957925795	300.13072619306274	512000.0000000001	1.0108642702209234
3700	7.399999999999407	-155310.6491544763	30841.07646969086	-124469.57268478542	297.5025154196712	512000.0000000001	1.0108642702209234
3800	7.599999999999385	-155506.09609520287	31121.082223305297	-124385.01387189756	300.20353709490814	512000.0000000001	1.0108642702209234
3900	7.799999999999363	-155524.02152541318	31091.753175572052	-124432.26834984114	299.9206200740293	512000.0000000001	1.0108642702209234
4000	7.999999999999341	-155447.18118124493	30939.81200240674	-124507.36917883818	298.454948755555	512000.0000000001	1.0108642702209234
4100	8.199999999999408	-155336.8800340174	30985.915339689494	-124350.9646943279	298.8996757359618	512000.0000000001	1.0108642702209234
4200	8.399999999999475	-155312.38194606328	30989.827884401235	-124322.55406166204	298.93741734639417	512000.0000000001	1.0108642702209234
4300	8.599999999999541	-155270.13768220096	30892.482490385748	-124377.6551918152	297.99839371624995	512000.0000000001	1.0108642702209234
4400	8.799999999999608	-155190.42926919903	30927.40842142309	-124263.02084777596	298.335299996003	512000.0000000001	1.0108642702209234
4500	8.999999999999675	-155409.2987720671	31041.04885446478	-124368.24991760233	299.431510587631	512000.0000000001	1.0108642702209234
4600	9.199999999999742	-155326.84179309962	31025.721665658475	-124301.12012744114	299.2836598072385	512000.0000000001	1.0108642702209234
4700	9.399999999999809	-155247.79064587207	31019.215324017874	-124228.57532185421	299.22089763335134	512000.0000000001	1.0108642702209234
4800	9.599999999999875	-155187.9794604036	31037.55691029738	-124150.42255010625	299.3978262194953	512000.0000000001	1.0108642702209234
4900	9.799999999999942	-155135.5177013214	30939.60159636225	-124195.91610495916	298.45291911409436	512000.0000000001	1.0108642702209234
5000	10.000000000000009	-155160.61330361586	30924.82166384328	-124235.79163977258	298.3103473362756	512000.0000000001	1.0108642702209234
5100	10.200000000000076	-155104.4469556235	30999.075713446233	-124105.37124217728	299.0266247515171	512000.0000000001	1.0108642702209234
5200	10.400000000000142	-155261.59322713403	31099.91323794982	-124161.67998918421	299.9993345471039	512000.0000000001	1.0108642702209234
5300	10.60000000000021	-155163.95938392179	31039.13340474538	-124124.82597917641	299.4130335701299	512000.0000000001	1.0108642702209234
5400	10.800000000000276	-155202.08079883576	31123.38724718423	-124078.69355165152	300.22577206464916	512000.0000000001	1.0108642702209234
5500	11.000000000000343	-155248.08940304225	31146.854410797343	-124101.2349922449	300.4521435472247	512000.0000000001	1.0108642702209234
5600	11.20000000000041	-155167.7834757	30988.70939333082	-124179.07408236919	298.926628037297	512000.0000000001	1.0108642702209234
5700	11.400000000000476	-155259.14341833862	30937.348262461222	-124321.7951558774	298.43118276178853	512000.0000000001	1.0108642702209234
5800	11.600000000000543	-155328.5148332526	31107.671586527347	-124220.84324672523	300.0741739652281	512000.0000000001	1.0108642702209234
5900	11.80000000000061	-155203.27582751645	31095.73876511647	-124107.53706239996	299.9590662973983	512000.0000000001	1.0108642702209234
6000	12.000000000000677	-155197.00192694282	31116.850654531103	-124080.15127241172	300.162718080185	512000.0000000001	1.0108642702209234
6100	12.200000000000744	-155239.1266879371	31156.06571240693	-124083.06097553016	300.5409985974637	512000.0000000001	1.0108642702209234
6200	12.40000000000081	-155287.88385810918	31073.826005889718	-124214.05785221946	299.7476890779244	512000.0000000001	1.0108642702209234
6300	12.600000000000877	-155180.86903975354	30896.37486258592	-124284.49417716761	298.0359407364274	512000.0000000001	1.0108642702209234
6400	12.800000000000944	-155640.83557895047	31131.61617847861	-124509.21940047186	300.3051508684889	512000.0000000001	1.0108642702209234
6500	13.00000000000101	-155478.49093267895	30884.165584402625	-124594.32534827634	297.9181662814871	512000.0000000001	1.0108642702209234
6600	13.200000000001078	-155513.14676441893	30994.146139686043	-124519.00062473289	298.9790725658778	512000.0000000001	1.0108642702209234
6700	13.400000000001144	-155346.7987720671	30790.72800176732	-124556.07077029979	297.01683860260226	512000.0000000001	1.0108642702209234
6800	13.600000000001211	-155369.32506269807	31089.52189702485	-124279.80316567323	299.89909647445427	512000.0000000001	1.0108642702209234
6900	13.800000000001278	-155299.35613344377	30954.7881238623	-124344.56800958149	298.5994130322361	512000.0000000001	1.0108642702209234
7000	14.000000000001345	-155190.48902063307	30829.849366571092	-124360.63965406198	297.3942153276725	512000.0000000001	1.0108642702209234
7100	14.200000000001411	-155382.5301296197	31085.583270995947	-124296.94685862373	299.8611032756096	512000.0000000001	1.0108642702209234
7200	14.400000000001478	-155312.32219462926	31018.835366126812	-124293.48682850244	299.2172324425965	512000.0000000001	1.0108642702209234
7300	14.600000000001545	-155490.3814680518	31117.36247537468	-124373.01899267714	300.1676552615625	512000.0000000001	1.0108642702209234
7400	14.800000000001612	-155369.5640684342	31003.83902384806	-124365.72504458617	299.0725731096317	512000.0000000001	1.0108642702209234
7500	15.000000000001679	-155348.59131508815	31078.68662213751	-124269.90469295063	299.7945760781764	512000.0000000001	1.0108642702209234
7600	15.200000000001745	-155411.15106652217	31294.521177079463	-124116.62988944272	301.8765826213923	512000.0000000001	1.0108642702209234
7700	15.400000000001812	-155444.07410667514	31262.317682865603	-124181.75642380954	301.5659378051083	512000.0000000001	1.0108642702209234
7800	15.600000000001879	-155200.4675101168	30967.2388472918	-124233.22866282503	298.71951654232953	512000.0000000001	1.0108642702209234
7900	15.800000000001946	-155476.81789252599	31253.037090435864	-124223.78080209013	301.4764143542928	512000.0000000001	1.0108642702209234
8000	16.00000000000201	-155034.2987720671	30933.972544398235	-124100.32622766888	298.3986195464263	512000.0000000001	1.0108642702209234
8100	16.2000000000019	-155263.9832844954	31228.29413626523	-124035.68914823017	301.23773620335635	512000.0000000001	1.0108642702209234
8200	16.40000000000179	-155383.2471468281	31160.52905239479	-124222.71809443331	300.58405334864494	512000.0000000001	1.0108642702209234
8300	16.60000000000168	-155313.33796900784	30886.395851962487	-124426.94211704534	297.93968012876707	512000.0000000001	1.0108642702209234
8400	16.800000000001567	-155415.63242407475	31105.80763847023	-124309.82478560453	300.05619374861186	512000.0000000001	1.0108642702209234
8500	17.000000000001457	-155477.47515830037	31051.72373521693	-124425.75142308345	299.5344837727171	512000.0000000001	1.0108642702209234
8600	17.200000000001346	-155671.84657321434	30952.72772203221	-124719.11885118212	298.5795377620642	512000.0000000001	1.0108642702209234
8700	17.400000000001235	-155817.40106652217	31143.962188968144	-124673.43887755404	300.42424428533656	512000.0000000001	1.0108642702209234
