#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
10	0.020000000000000004	-152989.9273578066	14593.230462531299	-138396.6968952753	162.50835210033887	498593.33652466687	0.8984822643754199
20	0.04000000000000002	-152095.56789317942	14166.982370731339	-137928.5855224481	157.76170774615179	498593.33652466687	0.8984822643754199
30	0.06000000000000004	-151873.17305570334	14451.472018708339	-137421.701036995	160.92974816057887	498593.33652466687	0.8984822643754199
40	0.08000000000000006	-151006.71751077025	14067.2628507803	-136939.45465998995	156.65124389778813	498593.33652466687	0.8984822643754199
50	0.10000000000000007	-150127.89341899205	13745.975989754552	-136381.9174292375	153.0734344147651	498593.33652466687	0.8984822643754199
60	0.12000000000000009	-149589.9512583802	13757.622386230136	-135832.32887215007	153.2031271996501	498593.33652466687	0.8984822643754199
70	0.1400000000000001	-149266.57649738595	13992.789171208853	-135273.7873261771	155.82191450611722	498593.33652466687	0.8984822643754199
80	0.16000000000000011	-149052.90536927886	14317.142907077028	-134735.76246220182	159.43387631600308	498593.33652466687	0.8984822643754199
90	0.18000000000000013	-148842.3413157416	14580.994030688204	-134261.34728505337	162.37208875689925	498593.33652466687	0.8984822643754199
100	0.20000000000000015	-148814.37764461347	15044.99651562273	-133769.38112899073	167.5391612149664	498593.33652466687	0.8984822643754199
110	0.22000000000000017	-148649.88194671672	15290.450294377135	-133359.43165233958	170.27250317133408	498593.33652466687	0.8984822643754199
120	0.24000000000000019	-148446.78682243373	15576.5400868216	-132870.24673561213	173.45836259034675	498593.33652466687	0.8984822643754199
130	0.2600000000000002	-148281.15584729033	15869.718707344546	-132411.4371399458	176.72316229419314	498593.33652466687	0.8984822643754199
140	0.2800000000000002	-148124.4875872521	16155.969412338973	-131968.51817491313	179.9108136148272	498593.33652466687	0.8984822643754199
150	0.3000000000000002	-147826.44743428842	16326.279225739083	-131500.16820854932	181.80736196258536	498593.33652466687	0.8984822643754199
160	0.32000000000000023	-147591.62429853316	16528.878383616346	-131062.74591491681	184.06348032980256	498593.33652466687	0.8984822643754199
170	0.34000000000000025	-147423.84227176453	16779.266597377475	-130644.57567438704	186.851771524692	498593.33652466687	0.8984822643754199
180	0.36000000000000026	-147165.59657386778	16933.982734698104	-130231.61383916967	188.5746706856324	498593.33652466687	0.8984822643754199
190	0.3800000000000003	-146904.8413157416	17117.54103486084	-129787.30028088075	190.61875249125967	498593.33652466687	0.8984822643754199
200	0.4000000000000003	-146737.11904040698	17341.52586556715	-129395.59317483983	193.11301898194606	498593.33652466687	0.8984822643754199
210	0.4200000000000003	-146520.8786006364	17524.017351664297	-128996.86124897211	195.14522088228154	498593.33652466687	0.8984822643754199
220	0.44000000000000034	-146305.29542664025	17690.632844846157	-128614.66258179407	197.0006297515438	498593.33652466687	0.8984822643754199
230	0.46000000000000035	-146113.0153119175	17847.522878085434	-128265.49243383204	198.7477371400103	498593.33652466687	0.8984822643754199
240	0.48000000000000037	-145999.42783581806	18080.742045431405	-127918.68579038666	201.34483602506637	498593.33652466687	0.8984822643754199
250	0.5000000000000003	-145745.42448973775	18160.074842548056	-127585.3496471897	202.22827592961931	498593.33652466687	0.8984822643754199
260	0.5200000000000004	-145500.80211880084	18297.33316047497	-127203.46895832589	203.75676704168924	498593.33652466687	0.8984822643754199
270	0.5400000000000004	-145363.61282625783	18517.25642689181	-126846.35639936602	206.2058044707689	498593.33652466687	0.8984822643754199
280	0.5600000000000004	-145058.22324690793	18520.90679014278	-126537.31645676515	206.24645445008676	498593.33652466687	0.8984822643754199
290	0.5800000000000004	-145021.95412644904	18850.243392214223	-126171.71073423482	209.9139048221185	498593.33652466687	0.8984822643754199
300	0.6000000000000004	-144803.26387788306	18926.304835809016	-125876.95904207406	210.76091535132923	498593.33652466687	0.8984822643754199
310	0.6200000000000004	-144591.62429853316	19007.406529512555	-125584.21776902063	211.6640534625341	498593.33652466687	0.8984822643754199
320	0.6400000000000005	-144355.42687979512	19120.737610422973	-125234.68926937215	212.92609391668782	498593.33652466687	0.8984822643754199
330	0.6600000000000005	-144128.43118189837	19278.502339324532	-124849.92884257383	214.68294180442422	498593.33652466687	0.8984822643754199
340	0.6800000000000005	-144027.92926985247	19525.99743451615	-124501.93183533633	217.43901560013194	498593.33652466687	0.8984822643754199
