#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
10	0.020000000000000004	-153285.81803796996	14512.066773077377	-138773.75126489258	161.5741317001905	498478.0793445866	0.8988833469711801
20	0.04000000000000002	-152317.61646378497	14031.660561822971	-138285.955901962	156.2253955304527	498478.0793445866	0.8988833469711801
30	0.06000000000000004	-152229.25847892222	14468.10813866865	-137761.15034025357	161.08470601766172	498478.0793445866	0.8988833469711801
40	0.08000000000000006	-151225.33891829805	13960.647351083555	-137264.69156721447	155.43475019758046	498478.0793445866	0.8988833469711801
50	0.10000000000000007	-150375.43462547936	13654.01357725282	-136721.42104822653	152.0207577917181	498478.0793445866	0.8988833469711801
60	0.12000000000000009	-149823.38654517985	13667.20795455349	-136156.17859062634	152.16766106118453	498478.0793445866	0.8988833469711801
70	0.1400000000000001	-149437.97320916227	13827.401106404819	-135610.57210275746	153.95121607229524	498478.0793445866	0.8988833469711801
80	0.16000000000000011	-149159.5050922031	14083.891312569041	-135075.61377963406	156.80692112097034	498478.0793445866	0.8988833469711801
90	0.18000000000000013	-148958.7272940368	14389.30531188122	-134569.42198215556	160.20733282797102	498478.0793445866	0.8988833469711801
100	0.20000000000000015	-148967.51016554874	14883.618664920592	-134083.89150062812	165.71090802880434	498478.0793445866	0.8988833469711801
110	0.22000000000000017	-148777.90228890872	15189.331297522012	-133588.57099138672	169.11464465259053	498478.0793445866	0.8988833469711801
120	0.24000000000000019	-148596.56256854458	15481.984921854646	-133114.57764668996	172.3729851756773	498478.0793445866	0.8988833469711801
130	0.2600000000000002	-148474.50785557117	15786.339278702126	-132688.16857686907	175.76159905857588	498478.0793445866	0.8988833469711801
140	0.2800000000000002	-148310.169217013	16087.351077893723	-132222.8181391193	179.1129976461377	498478.0793445866	0.8988833469711801
150	0.3000000000000002	-148157.4109141647	16370.059403548534	-131787.35151061616	182.2606094202809	498478.0793445866	0.8988833469711801
160	0.32000000000000023	-147871.0683262129	16512.638314106454	-131358.43001210643	183.84805137685274	498478.0793445866	0.8988833469711801
170	0.34000000000000025	-147623.99186014856	16703.294645848444	-130920.69721430013	185.97077667408638	498478.0793445866	0.8988833469711801
180	0.36000000000000026	-147424.83054830643	16959.59558778153	-130465.2349605249	188.82437449680353	498478.0793445866	0.8988833469711801
190	0.3800000000000003	-147245.5699756745	17137.569807191445	-130108.00016848306	190.8058999690763	498478.0793445866	0.8988833469711801
200	0.4000000000000003	-147057.19812443477	17347.612916447655	-129709.5852079871	193.14447334586376	498478.0793445866	0.8988833469711801
210	0.4200000000000003	-146814.86435719696	17545.921966258255	-129268.94239093868	195.35240230818638	498478.0793445866	0.8988833469711801
220	0.44000000000000034	-146572.4010271366	17688.993328050565	-128883.40769908605	196.9453271075432	498478.0793445866	0.8988833469711801
230	0.46000000000000035	-146263.7098529514	17753.936373431592	-128509.7734795198	197.66838856608553	498478.0793445866	0.8988833469711801
240	0.48000000000000037	-146221.37831258163	18028.784135099682	-128192.59417748194	200.7284825648017	498478.0793445866	0.8988833469711801
250	0.5000000000000003	-146083.39886517715	18262.844855514777	-127820.55400966237	203.33446269551266	498478.0793445866	0.8988833469711801
260	0.5200000000000004	-145642.42246457902	18199.468267591794	-127442.95419698724	202.62884182676265	498478.0793445866	0.8988833469711801
270	0.5400000000000004	-145534.47633054922	18395.45882963308	-127139.01750091613	204.81095726065806	498478.0793445866	0.8988833469711801
280	0.5600000000000004	-145406.81924449923	18621.947715433384	-126784.87152906586	207.3326342647095	498478.0793445866	0.8988833469711801
290	0.5800000000000004	-145218.5466362134	18780.465367812576	-126438.08126840083	209.09753463643577	498478.0793445866	0.8988833469711801
300	0.6000000000000004	-144938.04312201586	18826.841622095893	-126111.20149991997	209.6138775622577	498478.0793445866	0.8988833469711801
310	0.6200000000000004	-144771.22435631885	18968.602155161265	-125802.62220115759	211.19220788539857	498478.0793445866	0.8988833469711801
320	0.6400000000000005	-144570.90899036475	19087.037471938333	-125483.87151842641	212.51084042548533	498478.0793445866	0.8988833469711801
330	0.6600000000000005	-144415.64519016593	19230.414424289687	-125185.23076587624	214.107167602326	498478.0793445866	0.8988833469711801
340	0.6800000000000005	-144225.90558642737	19341.469482993878	-124884.43610343349	215.34362998646637	498478.0793445866	0.8988833469711801
350	0.7000000000000005	-144082.5909731978	19521.7696635959	-124560.82130960189	217.35105219459763	498478.0793445866	0.8988833469711801
360	0.7200000000000005	-143917.9387053384	19708.92855785442	-124209.01014748399	219.43483779885688	498478.0793445866	0.8988833469711801
370	0.7400000000000005	-143815.68691569762	19857.626142337867	-123958.06077335976	221.09040371338267	498478.0793445866	0.8988833469711801
380	0.7600000000000006	-143658.68716648922	20007.400429783254	-123651.28673670597	222.7579573998016	498478.0793445866	0.8988833469711801
390	0.7800000000000006	-143489.38012215873	20120.157543477253	-123369.22257868147	224.01337008656836	498478.0793445866	0.8988833469711801
400	0.8000000000000006	-143360.05333709353	20283.627863404934	-123076.42547368859	225.83341235994516	498478.0793445866	0.8988833469711801
410	0.8200000000000006	-143206.00753759415	20380.461375244362	-122825.5461623498	226.91153519658766	498478.0793445866	0.8988833469711801
420	0.8400000000000006	-143046.0902581743	20501.755739297718	-122544.33451887661	228.26199973471986	498478.0793445866	0.8988833469711801
430	0.8600000000000007	-142866.71705554234	20578.46987395637	-122288.24718158598	229.11611788966096	498478.0793445866	0.8988833469711801
440	0.8800000000000007	-142619.75540869826	20585.610984293708	-122034.14442440453	229.19562542777894	498478.0793445866	0.8988833469711801
450	0.9000000000000007	-142525.94105693224	20730.01815491014	-121795.92290202211	230.80342282621135	498478.0793445866	0.8988833469711801
460	0.9200000000000007	-142307.45446970788	20784.450865296843	-121523.00360441103	231.40946454682526	498478.0793445866	0.8988833469711801
470	0.9400000000000007	-142080.11324975532	20776.55959779322	-121303.5536519621	231.3216049252531	498478.0793445866	0.8988833469711801
480	0.9600000000000007	-142049.29559161025	20990.466760876487	-121058.82883073376	233.70319982004435	498478.0793445866	0.8988833469711801
490	0.9800000000000008	-141988.3936162302	21145.170472983988	-120843.22314324623	235.42563662697373	498478.0793445866	0.8988833469711801
500	1.0000000000000007	-141908.54148393133	21267.426741370713	-120641.11474256062	236.78681079453867	498478.0793445866	0.8988833469711801
510	1.0200000000000007	-141692.02652333543	21304.089994467984	-120387.93652886743	237.1950113201513	498478.0793445866	0.8988833469711801
520	1.0400000000000007	-141609.87591287357	21426.077855338197	-120183.79805753536	238.55319709797823	498478.0793445866	0.8988833469711801
530	1.0600000000000007	-141422.9660210914	21458.241908875145	-119964.72411221625	238.9113045339109	498478.0793445866	0.8988833469711801
540	1.0800000000000007	-141325.94649999088	21545.557825811004	-119780.38867417988	239.88346058053898	498478.0793445866	0.8988833469711801
550	1.1000000000000008	-141140.9232854051	21601.343248875874	-119539.58003652921	240.50456310398906	498478.0793445866	0.8988833469711801
560	1.1200000000000008	-141019.11830546675	21707.20275890832	-119311.91554655845	241.68317940193987	498478.0793445866	0.8988833469711801
570	1.1400000000000008	-140884.76086931556	21784.500398600296	-119100.26047071526	242.54379417246145	498478.0793445866	0.8988833469711801
580	1.1600000000000008	-140811.96123988283	21868.99661504926	-118942.96462483356	243.48455629946739	498478.0793445866	0.8988833469711801
590	1.1800000000000008	-140846.90120402465	22107.09804103186	-118739.80316299279	246.13552474946698	498478.0793445866	0.8988833469711801
600	1.2000000000000008	-140646.5470213985	22148.627789120237	-118497.91923227826	246.5979077505951	498478.0793445866	0.8988833469711801
610	1.2200000000000009	-140461.0960845103	22168.245273624616	-118292.85081088568	246.81632447059104	498478.0793445866	0.8988833469711801
620	1.2400000000000009	-140219.1218147556	22146.15605427496	-118072.96576048066	246.57038800322465	498478.0793445866	0.8988833469711801
630	1.260000000000001	-140199.57670615707	22284.370173032876	-117915.20653312419	248.1092333362992	498478.0793445866	0.8988833469711801
640	1.280000000000001	-139986.78988662089	22322.357007534687	-117664.43287908619	248.53217032361076	498478.0793445866	0.8988833469711801
650	1.300000000000001	-139826.0946971965	22354.447113522765	-117471.64758367374	248.88945444394088	498478.0793445866	0.8988833469711801
660	1.320000000000001	-139733.44256473673	22383.158879444	-117350.28368529276	249.20912487550953	498478.0793445866	0.8988833469711801
670	1.340000000000001	-139740.26907664174	22501.834548489813	-117238.4345281519	250.5304334444302	498478.0793445866	0.8988833469711801
680	1.360000000000001	-139601.1975740961	22561.021943846496	-117040.1756302496	251.18941277259134	498478.0793445866	0.8988833469711801
