#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
5100	10.200000000000076	-130599.89990300433	26819.311385316814	-103780.58851768753	298.7060051268466	498404.7066624888	0.8987188609703775
5200	10.400000000000142	-130793.13604067164	26945.242921646062	-103847.89311902558	300.108595431868	498404.7066624888	0.8987188609703775
5300	10.60000000000021	-130778.43718789918	27015.655629622535	-103762.78155827665	300.89283252161414	498404.7066624888	0.8987188609703775
5400	10.800000000000276	-130946.99598331026	27142.694372466518	-103804.30161084376	302.3077545837831	498404.7066624888	0.8987188609703775
5500	11.000000000000343	-131122.30669076723	27285.120114586913	-103837.18657618033	303.8940527494885	498404.7066624888	0.8987188609703775
5600	11.20000000000041	-130888.91758942882	27013.54679958061	-103875.37078984821	300.8693449611669	498404.7066624888	0.8987188609703775
5700	11.400000000000476	-130846.67332556649	26980.7897312659	-103865.88359430058	300.50450587654706	498404.7066624888	0.8987188609703775
5800	11.600000000000543	-130932.71539057604	26870.534667165575	-104062.18072341046	299.2765157440173	498404.7066624888	0.8987188609703775
5900	11.80000000000061	-130966.6542051076	26927.880835457414	-104038.77336965018	299.91522136153606	498404.7066624888	0.8987188609703775
6000	12.000000000000677	-130891.24789535615	26888.643111763817	-104002.60478359234	299.4782025460119	498404.7066624888	0.8987188609703775
6100	12.200000000000744	-130934.14942499287	26914.772871490615	-104019.37655350225	299.76922851721525	498404.7066624888	0.8987188609703775
6200	12.40000000000081	-131111.1331726028	26966.578890617337	-104144.55428198547	300.3462294995499	498404.7066624888	0.8987188609703775
6300	12.600000000000877	-130808.6714135206	26798.405715391087	-104010.2656981295	298.4731636098406	498404.7066624888	0.8987188609703775
6400	12.800000000000944	-131025.38986476342	26982.019205970795	-104043.37065879263	300.51819942267235	498404.7066624888	0.8987188609703775
6500	13.00000000000101	-130831.49646132175	26713.111570217574	-104118.38489110417	297.5231812258992	498404.7066624888	0.8987188609703775
6600	13.200000000001078	-131244.13986476342	27079.860403254224	-104164.2794615092	301.6079273712192	498404.7066624888	0.8987188609703775
6700	13.400000000001144	-131008.65946323378	26728.095546135333	-104280.56391709845	297.690068567748	498404.7066624888	0.8987188609703775
6800	13.600000000001211	-130943.2316429661	26664.83770705774	-104278.39393590836	296.9855204109236	498404.7066624888	0.8987188609703775
6900	13.800000000001278	-131183.13365061427	26982.285584493056	-104200.84806612122	300.5211662723089	498404.7066624888	0.8987188609703775
7000	14.000000000001345	-131051.0232299642	27022.757185707855	-104028.26604425634	300.97192767129764	498404.7066624888	0.8987188609703775
7100	14.200000000001411	-130985.05764679018	26908.70499269262	-104076.35265409757	299.7016461766658	498404.7066624888	0.8987188609703775
7200	14.400000000001478	-130994.67762766973	26916.592940941733	-104078.084686728	299.78949994279304	498404.7066624888	0.8987188609703775
7300	14.600000000001545	-131044.2713179183	27114.03326293285	-103930.23805498544	301.9885351449129	498404.7066624888	0.8987188609703775
