#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
10	0.020000000000000004	-153123.39226593563	14430.077493655617	-138693.31477228002	160.67727877039277	498512.1789188743	0.8987418439044983
20	0.04000000000000002	-152227.2786076418	14049.63747056117	-138177.64113708062	156.44112219583266	498512.1789188743	0.8987418439044983
30	0.06000000000000004	-152043.115254079	14365.151143584058	-137677.96411049494	159.9543312148735	498512.1789188743	0.8987418439044983
40	0.08000000000000006	-151074.57457736725	13938.924203825683	-137135.65037354155	155.20834250835975	498512.1789188743	0.8987418439044983
50	0.10000000000000007	-150229.95233935985	13652.82022106915	-136577.1321182907	152.02260705996022	498512.1789188743	0.8987418439044983
60	0.12000000000000009	-149753.69929275365	13708.63919013102	-136045.06010262264	152.64414495929393	498512.1789188743	0.8987418439044983
70	0.1400000000000001	-149424.34208622013	13909.090502821979	-135515.25158339817	154.87614762617477	498512.1789188743	0.8987418439044983
80	0.16000000000000011	-149100.1510338332	14114.239086059626	-134985.91194777357	157.16045386865468	498512.1789188743	0.8987418439044983
90	0.18000000000000013	-148954.86575761568	14476.111125488704	-134478.75463212698	161.18985804781593	498512.1789188743	0.8987418439044983
100	0.20000000000000015	-148933.70750328884	14967.013306411704	-133966.69419687713	166.6559982406069	498512.1789188743	0.8987418439044983
110	0.22000000000000017	-148779.50476053733	15298.10997332269	-133481.39478721464	170.3427221319092	498512.1789188743	0.8987418439044983
120	0.24000000000000019	-148575.22102993084	15551.930592669783	-133023.29043726105	173.1689859846458	498512.1789188743	0.8987418439044983
130	0.2600000000000002	-148418.00674626822	15842.328602039006	-132575.67814422923	176.40253493310436	498512.1789188743	0.8987418439044983
140	0.2800000000000002	-148216.8186652214	16066.869262400804	-132149.94940282058	178.90276975832293	498512.1789188743	0.8987418439044983
150	0.3000000000000002	-147941.9622604079	16211.871034547852	-131730.09122586003	180.51734807058187	498512.1789188743	0.8987418439044983
160	0.32000000000000023	-147764.094230706	16479.598395317025	-131284.49583538895	183.4984619141966	498512.1789188743	0.8987418439044983
170	0.34000000000000025	-147483.6063424189	16627.204915424634	-130856.40142699429	185.142043800024	498512.1789188743	0.8987418439044983
180	0.36000000000000026	-147276.15772924098	16818.995728305523	-130457.16200093547	187.27761278227038	498512.1789188743	0.8987418439044983
190	0.3800000000000003	-147118.96566472456	17063.816017407895	-130055.14964731666	190.0036589769665	498512.1789188743	0.8987418439044983
200	0.4000000000000003	-146918.14229918117	17254.70262633876	-129663.43967284239	192.12915975062518	498512.1789188743	0.8987418439044983
210	0.4200000000000003	-146773.50515119068	17437.543256055807	-129335.96189513488	194.16506945689784	498512.1789188743	0.8987418439044983
220	0.44000000000000034	-146509.80207502178	17530.60467211745	-128979.19740290435	195.20129778608583	498512.1789188743	0.8987418439044983
230	0.46000000000000035	-146290.01410796703	17669.067807211246	-128620.9463007558	196.74306911521904	498512.1789188743	0.8987418439044983
240	0.48000000000000037	-146189.1105201609	17912.046675913152	-128277.06384424775	199.448611302286	498512.1789188743	0.8987418439044983
250	0.5000000000000003	-146014.23497254876	18096.265682950572	-127917.9692895982	201.49986908392788	498512.1789188743	0.8987418439044983
260	0.5200000000000004	-145795.64648972263	18173.399295683415	-127622.2471940392	202.3587431267798	498512.1789188743	0.8987418439044983
270	0.5400000000000004	-145627.03028333184	18382.72432292196	-127244.3059604099	204.68955360025197	498512.1789188743	0.8987418439044983
280	0.5600000000000004	-145379.59088557935	18510.8781877822	-126868.71269779715	206.1165323727988	498512.1789188743	0.8987418439044983
290	0.5800000000000004	-145153.8684895832	18618.87658230925	-126534.99190727397	207.31908226567407	498512.1789188743	0.8987418439044983
300	0.6000000000000004	-144958.62039832282	18724.50207781373	-126234.11832050908	208.49521019664994	498512.1789188743	0.8987418439044983
310	0.6200000000000004	-144889.18339606005	19042.516315868455	-125846.66708019159	212.03626272414596	498512.1789188743	0.8987418439044983
320	0.6400000000000005	-144597.45621046884	19072.650043754962	-125524.80616671387	212.37179837169467	498512.1789188743	0.8987418439044983
330	0.6600000000000005	-144613.71520214193	19372.323702705904	-125241.39149943602	215.70863062783286	498512.1789188743	0.8987418439044983
340	0.6800000000000005	-144234.92197163706	19326.86879250467	-124908.05317913239	215.2024953502435	498512.1789188743	0.8987418439044983
350	0.7000000000000005	-144112.42031946167	19500.30483831042	-124612.11548115124	217.1336860796778	498512.1789188743	0.8987418439044983
360	0.7200000000000005	-143946.59036677875	19608.164581651923	-124338.42578512683	218.3346921073034	498512.1789188743	0.8987418439044983
370	0.7400000000000005	-143808.22012583696	19729.698138137406	-124078.52198769955	219.68795449580833	498512.1789188743	0.8987418439044983
380	0.7600000000000006	-143892.85540736406	20067.292101457744	-123825.56330590633	223.44702504684815	498512.1789188743	0.8987418439044983
390	0.7800000000000006	-143563.82109727061	20009.53588559193	-123554.2852116787	222.8039161237343	498512.1789188743	0.8987418439044983
400	0.8000000000000006	-143265.1212234551	20020.786175604222	-123244.33504785087	222.92918682899196	498512.1789188743	0.8987418439044983
410	0.8200000000000006	-143260.514711805	20323.893853896825	-122936.62085790817	226.30425650161706	498512.1789188743	0.8987418439044983
420	0.8400000000000006	-143028.2500935785	20374.11517996625	-122654.13491361226	226.86346528013013	498512.1789188743	0.8987418439044983
430	0.8600000000000007	-142850.3609527334	20459.327690870585	-122391.03326186282	227.81229693923385	498512.1789188743	0.8987418439044983
440	0.8800000000000007	-142682.26341646907	20532.51502907276	-122149.7483873963	228.62722966207923	498512.1789188743	0.8987418439044983
450	0.9000000000000007	-142534.9136001914	20626.878022574932	-121908.03557761645	229.67795090867145	498512.1789188743	0.8987418439044983
460	0.9200000000000007	-142418.193106074	20802.84144043574	-121615.35166563824	231.63728363972874	498512.1789188743	0.8987418439044983
470	0.9400000000000007	-142202.21045598676	20828.940075890416	-121373.27038009634	231.9278889899995	498512.1789188743	0.8987418439044983
480	0.9600000000000007	-141961.80625655488	20822.2282781463	-121139.57797840858	231.85315388219038	498512.1789188743	0.8987418439044983
490	0.9800000000000008	-141945.154328312	20992.279804061047	-120952.87452425095	233.7466583659153	498512.1789188743	0.8987418439044983
500	1.0000000000000007	-141791.3641488914	21115.805281127185	-120675.55886776425	235.12210056451246	498512.1789188743	0.8987418439044983
510	1.0200000000000007	-141672.92944708493	21257.486011631267	-120415.44343545368	236.69969945416543	498512.1789188743	0.8987418439044983
520	1.0400000000000007	-141524.69121722225	21340.79677664909	-120183.89444057316	237.62735538818444	498512.1789188743	0.8987418439044983
530	1.0600000000000007	-141479.27383883012	21538.048067699256	-119941.22577113085	239.82372617647866	498512.1789188743	0.8987418439044983
540	1.0800000000000007	-141390.3811893649	21666.59382696334	-119723.78736240156	241.25506864883255	498512.1789188743	0.8987418439044983
550	1.1000000000000008	-141232.83856851349	21732.045349560252	-119500.79321895323	241.98386394094894	498512.1789188743	0.8987418439044983
560	1.1200000000000008	-141113.36044941007	21732.750629675986	-119380.6098197341	241.9917171551688	498512.1789188743	0.8987418439044983
570	1.1400000000000008	-140900.48931997965	21731.769093208197	-119168.72022677143	241.9807878577532	498512.1789188743	0.8987418439044983
580	1.1600000000000008	-140841.35509774822	21858.20622036025	-118983.14887738797	243.38865095032983	498512.1789188743	0.8987418439044983
590	1.1800000000000008	-140674.26585279833	21891.69374965819	-118782.57210314013	243.76153079679648	498512.1789188743	0.8987418439044983
600	1.2000000000000008	-140562.79482958053	21980.085615889257	-118582.70921369127	244.7457642174201	498512.1789188743	0.8987418439044983
610	1.2200000000000009	-140509.43635228707	22090.725860919087	-118418.71049136798	245.97773081646977	498512.1789188743	0.8987418439044983
620	1.2400000000000009	-140264.4836512263	22037.577251250306	-118226.906399976	245.3859270665756	498512.1789188743	0.8987418439044983
630	1.260000000000001	-140389.2235800453	22396.781954374128	-117992.44162567118	249.38563075803796	498512.1789188743	0.8987418439044983
640	1.280000000000001	-140082.53933388667	22226.322959513214	-117856.21637437346	247.48758915374097	498512.1789188743	0.8987418439044983
650	1.300000000000001	-140118.09171545634	22408.22836366305	-117709.8633517933	249.5130852292315	498512.1789188743	0.8987418439044983
