#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
5100	10.200000000000076	-130932.4495239858	27185.427882193864	-103747.02164179193	302.7770071393401	498411.9554592178	0.8987791000250346
5200	10.400000000000142	-130775.12399817318	27038.652389284205	-103736.47160888897	301.1422988442503	498411.9554592178	0.8987791000250346
5300	10.60000000000021	-130754.21099626113	26973.134295502485	-103781.07670075864	300.41259275190305	498411.9554592178	0.8987791000250346
5400	10.800000000000276	-130802.49015496093	26923.94034532051	-103878.54980964042	299.86469639102893	498411.9554592178	0.8987791000250346
5500	11.000000000000343	-130733.05898861295	26728.124339721475	-104004.93464889146	297.6838006412111	498411.9554592178	0.8987791000250346
5600	11.20000000000041	-130923.30755457853	26782.270983659397	-104141.03657091912	298.2868575020119	498411.9554592178	0.8987791000250346
5700	11.400000000000476	-131066.17323335481	26943.690952995737	-104122.48228035908	300.08466827843137	498411.9554592178	0.8987791000250346
5800	11.600000000000543	-131117.97772666265	26970.442785737527	-104147.53494092514	300.3826161307937	498411.9554592178	0.8987791000250346
5900	11.80000000000061	-131012.27743985577	27018.532108964355	-103993.74533089141	300.9182097372314	498411.9554592178	0.8987791000250346
6000	12.000000000000677	-130791.73489683474	26852.74822915934	-103938.9866676754	299.07179601967545	498411.9554592178	0.8987791000250346
6100	12.200000000000744	-130994.41176107948	27022.51056818888	-103971.9011928906	300.96251972500306	498411.9554592178	0.8987791000250346
6200	12.40000000000081	-130724.57428498006	26952.890383431954	-103771.6839015481	300.1871266994257	498411.9554592178	0.8987791000250346
6300	12.600000000000877	-130738.25736337394	26925.908846640104	-103812.34851673384	299.8866205240858	498411.9554592178	0.8987791000250346
6400	12.800000000000944	-130949.59818555367	27072.66259715542	-103876.93558839825	301.52108666381514	498411.9554592178	0.8987791000250346
6500	13.00000000000101	-130843.83814731275	26870.75417964256	-103973.08396767019	299.272336832262	498411.9554592178	0.8987791000250346
6600	13.200000000001078	-131079.73680888064	27031.478144883127	-104048.2586639975	301.0623958808812	498411.9554592178	0.8987791000250346
