Ligand,RMSD (nm)
ejm_31,0.09607686
ejm_31,0.07364756
ejm_31,0.08092148
ejm_31,0.04949526
ejm_31,0.06341456
ejm_31,0.028853042
ejm_31,0.04177588
ejm_31,0.05875679
ejm_31,0.027021967
ejm_31,0.10356297
ejm_31,0.11792725
ejm_31,0.12928508
ejm_31,0.09009963
ejm_31,0.08420958
ejm_31,0.052672174
ejm_31,0.06711891
ejm_31,0.1079807
ejm_31,0.069342166
ejm_31,0.07241702
ejm_31,0.05684572
ejm_31,0.06392826
ejm_31,0.062281944
ejm_31,0.076034226
ejm_31,0.08039347
ejm_31,0.04341964
ejm_31,0.05558718
ejm_31,0.08960876
ejm_31,0.07683994
ejm_31,0.06533921
ejm_31,0.058863718
ejm_31,0.060498863
ejm_31,0.0940466
ejm_31,0.09090592
ejm_31,0.0926992
ejm_31,0.078387775
ejm_31,0.08481612
ejm_31,0.08541695
ejm_31,0.09135917
ejm_31,0.06856766
ejm_31,0.089863315
ejm_31,0.06179025
ejm_31,0.07484334
ejm_31,0.07187257
ejm_31,0.06810495
ejm_31,0.09016114
ejm_31,0.08182299
ejm_31,0.080154754
ejm_31,0.0938777
ejm_31,0.0804698
ejm_31,0.090534866
ejm_31,0.0990006
ejm_31,0.07789444
ejm_31,0.09169195
ejm_31,0.10725918
ejm_31,0.08506926
ejm_31,0.09277922
ejm_31,0.084487475
ejm_31,0.073008455
ejm_31,0.08820659
ejm_31,0.056181528
ejm_31,0.068377465
ejm_31,0.0923544
ejm_31,0.07033496
ejm_31,0.07384296
ejm_31,0.08319072
ejm_31,0.079824835
ejm_31,0.09548037
ejm_31,0.08340038
ejm_31,0.0787574
ejm_31,0.094934136
ejm_31,0.07869096
ejm_31,0.071862206
ejm_31,0.07926961
ejm_31,0.10462772
ejm_31,0.10022025
ejm_31,0.102513626
ejm_31,0.08680221
ejm_31,0.08027606
ejm_31,0.086006485
ejm_31,0.078416474
ejm_31,0.08521085
ejm_31,0.10210917
ejm_31,0.09015221
ejm_31,0.12823112
ejm_31,0.11827007
ejm_31,0.13408189
ejm_31,0.10861844
ejm_31,0.14138672
ejm_31,0.12724693
ejm_31,0.1007319
ejm_31,0.1282137
ejm_31,0.10317953
ejm_31,0.103682905
ejm_31,0.12277774
ejm_31,0.114866026
ejm_31,0.13631138
ejm_31,0.12733883
ejm_31,0.14036165
ejm_31,0.13947354
ejm_31,0.11262546
ejm_31,0.11606582
ejm_31,0.13382314
ejm_31,0.12951598
ejm_31,0.12528625
ejm_31,0.12353974
ejm_31,0.10875718
ejm_31,0.115036614
ejm_31,0.1406909
ejm_31,0.10410859
ejm_31,0.12713657
ejm_31,0.11842594
ejm_31,0.11692259
ejm_31,0.07182673
ejm_31,0.07764824
ejm_31,0.10622306
ejm_31,0.12596248
ejm_31,0.12000015
ejm_31,0.15225187
ejm_31,0.12538956
ejm_31,0.0985267
ejm_31,0.11778843
ejm_31,0.12289201
ejm_31,0.036057264
ejm_31,0.10834825
ejm_31,0.12294632
ejm_31,0.096262485
ejm_31,0.08979647
ejm_31,0.08000887
ejm_31,0.07109818
ejm_31,0.083213285
ejm_31,0.08501529
ejm_31,0.06789195
ejm_31,0.099016406
ejm_31,0.08435774
ejm_31,0.1180062
ejm_31,0.08274008
ejm_31,0.080027126
ejm_31,0.084316574
ejm_31,0.107468754
ejm_31,0.09188709
ejm_31,0.08848792
ejm_31,0.115843244
ejm_31,0.08221723
ejm_31,0.10585235
ejm_31,0.12660028
ejm_31,0.1303776
ejm_31,0.124298155
ejm_31,0.12623452
ejm_31,0.12196468
ejm_31,0.13098924
ejm_31,0.12824263
ejm_31,0.126076
ejm_31,0.14571851
ejm_31,0.11328993
ejm_31,0.11876933
ejm_31,0.13915062
ejm_31,0.11408083
ejm_31,0.12991929
ejm_31,0.13774195
ejm_31,0.11709158
ejm_31,0.12122621
ejm_31,0.11930211
ejm_31,0.112222396
ejm_31,0.12573704
ejm_31,0.1410855
ejm_31,0.12950999
ejm_31,0.1160291
ejm_31,0.1346435
ejm_31,0.118034735
ejm_31,0.13362658
ejm_31,0.13370895
ejm_31,0.12784067
ejm_31,0.1327052
ejm_31,0.12129306
ejm_31,0.13402408
ejm_31,0.11326691
ejm_31,0.13917407
ejm_31,0.12191494
ejm_31,0.116937496
ejm_31,0.12739825
ejm_31,0.15097132
ejm_31,0.12152037
ejm_31,0.11451692
ejm_31,0.13655746
ejm_31,0.10552567
ejm_31,0.13000666
ejm_31,0.13170826
ejm_31,0.11102079
ejm_31,0.14605865
ejm_31,0.1357671
ejm_31,0.111963436
ejm_31,0.13301744
ejm_31,0.118297406
ejm_31,0.13051514
ejm_31,0.12940754
ejm_31,0.13845141
ejm_31,0.11117892
ejm_31,0.14823176
ejm_31,0.113178864
ejm_31,0.12380313
ejm_31,0.12990059
ejm_31,0.13672638
ejm_31,0.108994916
ejm_31,0.104694776
ejm_31,0.12686166
ejm_31,0.115532055
ejm_31,0.12357882
ejm_31,0.117195256
ejm_31,0.13359948
ejm_31,0.12666276
ejm_31,0.12286921
ejm_31,0.135556
ejm_31,0.11996115
ejm_31,0.13921957
ejm_31,0.11637136
ejm_31,0.10619065
ejm_31,0.11208089
ejm_31,0.108777456
ejm_31,0.105840385
ejm_31,0.12609941
