Ligand,RMSD (nm)
AMBER_ejm_31,0.09607686
AMBER_ejm_31,0.07364756
AMBER_ejm_31,0.08092148
AMBER_ejm_31,0.04949526
AMBER_ejm_31,0.06341456
AMBER_ejm_31,0.028853042
AMBER_ejm_31,0.04177588
AMBER_ejm_31,0.05875679
AMBER_ejm_31,0.027021967
AMBER_ejm_31,0.10356297
AMBER_ejm_31,0.11792725
AMBER_ejm_31,0.12928508
AMBER_ejm_31,0.09009963
AMBER_ejm_31,0.08420958
AMBER_ejm_31,0.052672174
AMBER_ejm_31,0.06711891
AMBER_ejm_31,0.1079807
AMBER_ejm_31,0.069342166
AMBER_ejm_31,0.07241702
AMBER_ejm_31,0.05684572
AMBER_ejm_31,0.06392826
AMBER_ejm_31,0.062281944
AMBER_ejm_31,0.076034226
AMBER_ejm_31,0.08039347
AMBER_ejm_31,0.04341964
AMBER_ejm_31,0.05558718
AMBER_ejm_31,0.08960876
AMBER_ejm_31,0.07683994
AMBER_ejm_31,0.06533921
AMBER_ejm_31,0.058863718
AMBER_ejm_31,0.060498863
AMBER_ejm_31,0.0940466
AMBER_ejm_31,0.09090592
AMBER_ejm_31,0.0926992
AMBER_ejm_31,0.078387775
AMBER_ejm_31,0.08481612
AMBER_ejm_31,0.08541695
AMBER_ejm_31,0.09135917
AMBER_ejm_31,0.06856766
AMBER_ejm_31,0.089863315
AMBER_ejm_31,0.06179025
AMBER_ejm_31,0.07484334
AMBER_ejm_31,0.07187257
AMBER_ejm_31,0.06810495
AMBER_ejm_31,0.09016114
AMBER_ejm_31,0.08182299
AMBER_ejm_31,0.080154754
AMBER_ejm_31,0.0938777
AMBER_ejm_31,0.0804698
AMBER_ejm_31,0.090534866
AMBER_ejm_31,0.0990006
AMBER_ejm_31,0.07789444
AMBER_ejm_31,0.09169195
AMBER_ejm_31,0.10725918
AMBER_ejm_31,0.08506926
AMBER_ejm_31,0.09277922
AMBER_ejm_31,0.084487475
AMBER_ejm_31,0.073008455
AMBER_ejm_31,0.08820659
AMBER_ejm_31,0.056181528
AMBER_ejm_31,0.068377465
AMBER_ejm_31,0.0923544
AMBER_ejm_31,0.07033496
AMBER_ejm_31,0.07384296
AMBER_ejm_31,0.08319072
AMBER_ejm_31,0.079824835
AMBER_ejm_31,0.09548037
AMBER_ejm_31,0.08340038
AMBER_ejm_31,0.0787574
AMBER_ejm_31,0.094934136
AMBER_ejm_31,0.07869096
AMBER_ejm_31,0.071862206
AMBER_ejm_31,0.07926961
AMBER_ejm_31,0.10462772
AMBER_ejm_31,0.10022025
AMBER_ejm_31,0.102513626
AMBER_ejm_31,0.08680221
AMBER_ejm_31,0.08027606
AMBER_ejm_31,0.086006485
AMBER_ejm_31,0.078416474
AMBER_ejm_31,0.08521085
AMBER_ejm_31,0.10210917
AMBER_ejm_31,0.09015221
AMBER_ejm_31,0.12823112
AMBER_ejm_31,0.11827007
AMBER_ejm_31,0.13408189
AMBER_ejm_31,0.10861844
AMBER_ejm_31,0.14138672
AMBER_ejm_31,0.12724693
AMBER_ejm_31,0.1007319
AMBER_ejm_31,0.1282137
AMBER_ejm_31,0.10317953
AMBER_ejm_31,0.103682905
AMBER_ejm_31,0.12277774
AMBER_ejm_31,0.114866026
AMBER_ejm_31,0.13631138
AMBER_ejm_31,0.12733883
AMBER_ejm_31,0.14036165
AMBER_ejm_31,0.13947354
AMBER_ejm_31,0.11262546
AMBER_ejm_31,0.11606582
AMBER_ejm_31,0.13382314
AMBER_ejm_31,0.12951598
AMBER_ejm_31,0.12528625
AMBER_ejm_31,0.12353974
AMBER_ejm_31,0.10875718
AMBER_ejm_31,0.115036614
AMBER_ejm_31,0.1406909
AMBER_ejm_31,0.10410859
AMBER_ejm_31,0.12713657
AMBER_ejm_31,0.11842594
AMBER_ejm_31,0.11692259
AMBER_ejm_31,0.07182673
AMBER_ejm_31,0.07764824
AMBER_ejm_31,0.10622306
AMBER_ejm_31,0.12596248
AMBER_ejm_31,0.12000015
AMBER_ejm_31,0.15225187
AMBER_ejm_31,0.12538956
AMBER_ejm_31,0.0985267
AMBER_ejm_31,0.11778843
AMBER_ejm_31,0.12289201
AMBER_ejm_31,0.036057264
AMBER_ejm_31,0.10834825
AMBER_ejm_31,0.12294632
AMBER_ejm_31,0.096262485
AMBER_ejm_31,0.08979647
AMBER_ejm_31,0.08000887
AMBER_ejm_31,0.07109818
AMBER_ejm_31,0.083213285
AMBER_ejm_31,0.08501529
AMBER_ejm_31,0.06789195
AMBER_ejm_31,0.099016406
AMBER_ejm_31,0.08435774
AMBER_ejm_31,0.1180062
AMBER_ejm_31,0.08274008
AMBER_ejm_31,0.080027126
AMBER_ejm_31,0.084316574
AMBER_ejm_31,0.107468754
